year,dam_id,dam_age,dam_FL,dam_POH,dam_wt,egg_wt,sire_id,sire_age,sire_FL,sire_POH,sire_wt,spawn_date,spawn_doy,cross_type,progeny_mat_status,progeny_length,progeny_wt
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,172,57.7
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,162,52.6
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,163,48
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,159,48.2
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,167,56.1
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,150,39.3
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,154,44
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,163,52.8
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,155,39.7
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,171,58.6
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,167,56
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Non-maturing,126,21
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Non-maturing,145,31.6
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Non-maturing,154,39.7
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Non-maturing,153,36
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Non-maturing,156,40.5
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Non-maturing,150,36.8
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Non-maturing,160,42
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Non-maturing,162,46.3
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Non-maturing,152,35.4
2014,F14-038,4,74,64,5.4,0.214230769,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Non-maturing,166,52
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,164,50.5
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,163,50.1
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,159,48.9
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,171,62.5
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,167,54
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,161,50.9
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,173,60.5
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,161,50.2
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,170,57.3
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,165,52.5
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,163,50.4
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,165,53.4
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,170,56.5
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,201,102.3
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,144,35.7
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,168,57.8
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,156,40.8
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,172,65.1
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,177,67.3
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Minijack,157,41.4
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Non-maturing,144,30.9
2014,F14-038,4,74,64,5.4,0.214230769,M14-033,4,74,62,5.9,9/16/2014,259,4x4,Non-maturing,154,38.8
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Minijack,165,50.3
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Minijack,159,44.7
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Minijack,162,46.8
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Minijack,146,36.1
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Minijack,126,24
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Minijack,163,48.2
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Minijack,151,37.7
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Non-maturing,122,17.3
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Non-maturing,148,33.3
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Non-maturing,140,25
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Non-maturing,130,23.9
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Non-maturing,133,23.5
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Non-maturing,146,31.6
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Non-maturing,150,34.9
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Non-maturing,136,26.3
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Non-maturing,143,31
2014,F14-038,4,74,64,5.4,0.214230769,M14-037,5,86,75,8.1,9/16/2014,259,4x5,Non-maturing,140,29.1
2014,F14-039,4,68,58,4.3,0.174285714,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,103,12.6
2014,F14-039,4,68,58,4.3,0.174285714,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,166,52.7
2014,F14-039,4,68,58,4.3,0.174285714,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,145,35.4
2014,F14-039,4,68,58,4.3,0.174285714,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,168,53.2
2014,F14-039,4,68,58,4.3,0.174285714,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,156,37.4
2014,F14-039,4,68,58,4.3,0.174285714,M14-039,3,53,46,2.2,9/16/2014,259,4x3,Minijack,152,42.4
